,0,1,2,3,4,5
0,0.007,0.015,0.037,0.027,0.057,-0.0
1,-0.017,-0.005,0.005,0.054,-0.045,-0.018
2,0.007,0.022,0.055,0.037,0.078,-0.002
3,-0.025,-0.009,0.013,0.09,-0.067,-0.031
4,-0.035,-0.008,0.012,0.101,-0.085,-0.039
5,-0.043,-0.018,0.02,0.149,-0.114,-0.029
6,0.003,0.018,0.048,0.027,0.065,-0.001
7,-0.019,-0.016,0.009,0.088,-0.081,-0.013
8,0.009,-0.004,0.023,0.044,-0.002,-0.002
9,0.002,0.017,0.048,0.027,0.064,-0.001
10,-0.072,-0.002,0.027,0.194,-0.156,-0.056
11,0.008,0.01,0.027,0.022,0.046,0.005
12,-0.104,-0.053,0.063,0.366,-0.186,-0.045
13,-0.289,-0.045,0.176,0.855,-0.394,-0.148
14,-0.076,-0.014,0.041,0.217,-0.141,-0.051
15,-0.025,-0.019,0.013,0.108,-0.097,-0.015
16,0.004,0.017,0.047,0.027,0.065,-0.002
17,-0.075,-0.003,0.03,0.202,-0.162,-0.056
18,-0.171,-0.023,0.085,0.493,-0.322,-0.117
19,0.006,-0.013,0.019,0.037,-0.014,0.006
20,-0.052,-0.013,0.029,0.157,-0.096,-0.03
21,-0.019,-0.016,0.009,0.087,-0.081,-0.012
22,-0.002,-0.016,0.017,0.085,-0.051,-0.012
23,0.009,0.014,0.055,0.039,0.053,-0.007
24,-0.024,-0.005,0.008,0.075,-0.061,-0.024
25,-0.008,-0.009,0.003,0.043,-0.034,-0.009
26,0.01,0.008,0.041,0.04,0.032,-0.006
27,0.009,-0.004,0.023,0.044,-0.002,-0.002
28,-0.016,-0.015,0.005,0.075,-0.067,-0.016
29,-0.082,-0.008,0.045,0.241,-0.149,-0.064
30,-0.095,-0.028,0.041,0.294,-0.236,-0.05
31,0.007,0.022,0.055,0.037,0.078,-0.002
32,-0.066,-0.019,0.034,0.203,-0.146,-0.039
33,-0.073,-0.005,0.03,0.201,-0.163,-0.051
34,-0.074,-0.01,0.039,0.216,-0.132,-0.057
35,0.008,0.013,0.036,0.028,0.055,-0.0
36,-0.075,-0.003,0.03,0.202,-0.162,-0.056
37,0.009,-0.003,0.023,0.041,0.001,-0.003
38,-0.064,-0.016,0.036,0.196,-0.122,-0.046
39,-0.023,-0.002,0.009,0.068,-0.051,-0.019
40,-0.009,-0.013,0.007,0.073,-0.052,-0.016
41,-0.011,-0.026,0.023,0.114,-0.101,-0.016
42,0.002,-0.01,0.009,0.04,-0.033,-0.007
43,-0.01,-0.008,0.002,0.046,-0.045,-0.015
44,0.007,0.022,0.055,0.037,0.078,-0.002
45,0.003,0.018,0.048,0.027,0.065,-0.001
46,-0.037,-0.016,0.017,0.12,-0.102,-0.029
47,-0.087,-0.008,0.039,0.241,-0.187,-0.07
48,-0.009,-0.012,0.006,0.072,-0.05,-0.015
49,0.007,0.022,0.055,0.036,0.077,-0.002
50,-0.252,-0.057,0.145,0.754,-0.29,-0.093
51,0.003,0.018,0.048,0.027,0.065,-0.001
52,-0.091,-0.028,0.053,0.275,-0.18,-0.05
53,-0.045,-0.006,0.017,0.124,-0.1,-0.047
54,-0.01,-0.014,0.005,0.066,-0.056,-0.013
55,-0.002,-0.007,0.005,0.045,-0.039,-0.011
56,-0.009,-0.012,0.006,0.072,-0.05,-0.015
57,-0.093,-0.028,0.039,0.291,-0.234,-0.048
58,-0.011,-0.011,0.005,0.062,-0.056,-0.011
59,-0.003,-0.011,0.007,0.053,-0.042,-0.01
60,-0.056,-0.023,0.024,0.172,-0.153,-0.039
61,0.004,0.017,0.047,0.027,0.064,-0.002
62,-0.067,-0.014,0.037,0.203,-0.127,-0.051
63,0.009,0.014,0.055,0.039,0.053,-0.007
64,-0.072,-0.025,0.034,0.223,-0.193,-0.036
65,-0.018,-0.003,0.008,0.059,-0.043,-0.016
66,-0.013,-0.014,0.005,0.072,-0.061,-0.013
67,-0.086,-0.024,0.039,0.257,-0.207,-0.039
68,-0.008,-0.017,0.01,0.082,-0.06,-0.018
69,0.01,0.008,0.041,0.04,0.032,-0.006
70,-0.066,-0.016,0.037,0.202,-0.127,-0.049
71,-0.042,-0.018,0.018,0.134,-0.115,-0.032
72,-0.079,-0.012,0.042,0.223,-0.15,-0.055
73,-0.002,-0.013,0.017,0.078,-0.045,-0.012
74,-0.008,-0.021,0.013,0.091,-0.067,-0.019
75,-0.011,-0.011,0.005,0.063,-0.056,-0.011
76,-0.063,-0.042,0.034,0.232,-0.186,-0.04
77,-0.032,-0.005,0.015,0.098,-0.07,-0.034
78,0.009,0.008,0.04,0.037,0.033,-0.007
79,-0.059,-0.017,0.033,0.188,-0.115,-0.038
