,0,1,2,3,4,5
0,0.67,-0.139,0.265,0.544,-0.463,-0.543
1,-0.021,0.102,0.393,-0.203,0.173,0.407
2,0.828,-0.361,0.33,0.849,-0.772,-0.81
3,0.013,0.125,0.634,-0.385,0.097,0.719
4,0.076,0.222,0.6,-0.584,0.327,0.785
5,-0.366,-0.114,1.186,-0.698,0.161,1.176
6,0.629,-0.345,0.269,0.808,-0.637,-0.708
7,-0.349,-0.323,0.555,-0.211,0.244,0.838
8,0.275,-0.36,0.432,0.514,-0.284,0.195
9,0.638,-0.358,0.259,0.809,-0.611,-0.694
10,-0.562,0.271,1.329,-0.835,0.554,1.666
11,0.611,-0.019,0.245,0.324,-0.296,-0.408
12,-0.861,-0.362,2.966,-2.093,-0.413,2.635
13,-1.853,0.895,5.496,-6.191,0.016,6.043
14,-0.462,0.061,1.447,-1.38,0.154,1.743
15,-0.48,-0.402,0.669,-0.39,0.372,0.951
16,0.588,-0.309,0.284,0.806,-0.653,-0.697
17,-0.626,0.206,1.378,-0.901,0.518,1.762
18,-1.269,0.366,3.371,-2.673,0.416,4.07
19,0.119,-0.434,0.324,0.292,-0.036,0.181
20,-0.393,-0.038,1.107,-0.944,0.012,1.264
21,-0.35,-0.324,0.554,-0.211,0.244,0.837
22,0.125,-0.263,0.98,0.173,-0.176,0.403
23,0.481,-0.383,0.462,0.832,-0.552,-0.365
24,-0.081,0.126,0.559,-0.319,0.238,0.558
25,-0.021,-0.04,0.393,-0.085,0.019,0.307
26,0.396,-0.361,0.435,0.722,-0.434,-0.118
27,0.275,-0.36,0.432,0.514,-0.284,0.195
28,-0.09,-0.107,0.602,-0.196,0.152,0.555
29,-0.381,0.399,1.543,-1.568,0.34,1.771
30,-1.178,-0.444,2.123,-1.314,0.438,2.582
31,0.828,-0.361,0.33,0.849,-0.772,-0.81
32,-0.613,-0.154,1.508,-1.017,0.11,1.737
33,-0.672,0.109,1.377,-0.887,0.479,1.775
34,-0.349,0.294,1.408,-1.351,0.2,1.643
35,0.618,-0.07,0.3,0.514,-0.435,-0.481
36,-0.626,0.206,1.378,-0.901,0.518,1.762
37,0.276,-0.309,0.419,0.49,-0.261,0.153
38,-0.363,0.086,1.347,-1.157,0.021,1.587
39,-0.11,0.128,0.517,-0.377,0.201,0.461
40,0.156,-0.116,0.75,-0.031,-0.114,0.466
41,-0.5,-0.827,0.54,-0.117,0.445,1.142
42,0.047,-0.324,0.283,0.105,0.111,0.282
43,0.043,-0.024,0.304,-0.086,0.122,0.373
44,0.828,-0.361,0.33,0.849,-0.772,-0.81
45,0.629,-0.345,0.269,0.808,-0.637,-0.708
46,-0.205,-0.168,0.798,-0.562,0.121,1.074
47,-0.558,0.238,1.632,-1.264,0.568,1.995
48,0.162,-0.107,0.753,-0.034,-0.129,0.46
49,0.849,-0.377,0.313,0.85,-0.761,-0.803
50,-1.788,0.485,5.214,-5.461,-0.653,5.145
51,0.629,-0.345,0.269,0.808,-0.637,-0.708
52,-0.741,-0.274,1.967,-1.635,-0.041,2.33
53,-0.035,0.266,0.761,-0.7,0.369,0.983
54,-0.097,-0.101,0.629,-0.074,0.09,0.443
55,-0.058,-0.096,0.441,0.107,0.113,0.289
56,0.162,-0.107,0.753,-0.034,-0.129,0.46
57,-1.188,-0.475,2.1,-1.264,0.424,2.566
58,-0.192,-0.142,0.491,-0.076,0.175,0.488
59,-0.059,-0.14,0.571,0.067,0.044,0.307
60,-0.419,-0.384,1.048,-0.792,0.203,1.648
61,0.589,-0.309,0.277,0.796,-0.648,-0.696
62,-0.357,0.152,1.368,-1.216,0.081,1.623
63,0.481,-0.385,0.462,0.832,-0.554,-0.366
64,-1.061,-0.711,1.267,-1.129,0.536,2.122
65,-0.091,0.1,0.465,-0.291,0.154,0.398
66,-0.109,-0.097,0.66,-0.142,0.105,0.494
67,-1.186,-0.567,1.744,-1.267,0.43,2.312
68,0.109,-0.164,0.84,0.001,-0.083,0.512
69,0.396,-0.361,0.435,0.722,-0.434,-0.118
70,-0.363,0.1,1.38,-1.192,0.046,1.632
71,-0.251,-0.2,0.894,-0.608,0.135,1.221
72,-0.467,0.108,1.456,-1.439,0.259,1.784
73,0.165,-0.223,0.91,0.18,-0.186,0.342
74,0.066,-0.209,0.931,0.025,-0.069,0.564
75,-0.191,-0.142,0.491,-0.077,0.176,0.491
76,-0.406,-0.576,1.658,-1.152,-0.133,2.108
77,-0.022,0.237,0.667,-0.555,0.222,0.705
78,0.389,-0.299,0.413,0.694,-0.406,-0.149
79,-0.438,0.005,1.391,-1.02,0.003,1.501
