,0
0,-1.059
1,0.178
2,-1.594
3,0.326
4,0.402
5,0.743
6,-1.385
7,0.409
8,-0.457
9,-1.375
10,0.933
11,-0.718
12,1.655
13,3.734
14,1.052
15,0.537
16,-1.361
17,0.982
18,2.207
19,-0.325
20,0.797
21,0.409
22,-0.305
23,-1.12
24,0.31
25,0.048
26,-0.807
27,-0.457
28,0.244
29,1.107
30,1.433
31,-1.594
32,1.005
33,0.987
34,1.004
35,-0.958
36,0.982
37,-0.434
38,0.937
39,0.311
40,-0.155
41,0.431
42,-0.202
43,0.058
44,-1.594
45,-1.385
46,0.561
47,1.14
48,-0.16
49,-1.599
50,3.32
51,-1.385
52,1.337
53,0.549
54,0.141
55,-0.087
56,-0.16
57,1.417
58,0.209
59,-0.088
60,0.827
61,-1.353
62,0.961
63,-1.122
64,1.15
65,0.249
66,0.207
67,1.312
68,-0.145
69,-0.807
70,0.959
71,0.631
72,1.081
73,-0.303
74,-0.134
75,0.21
76,1.054
77,0.411
78,-0.787
79,0.909
